date,contract_deployments
2022-07-01,940
2022-07-02,784
2022-07-03,683
2022-07-04,852
2022-07-05,953
2022-07-06,884
2022-07-07,996
2022-07-08,966
2022-07-09,785
2022-07-10,703
2022-07-11,985
2022-07-12,969
2022-07-13,982
2022-07-14,959
2022-07-15,959
2022-07-16,802
2022-07-17,765
2022-07-18,918
2022-07-19,1053
2022-07-20,1163
2022-07-21,1075
2022-07-22,1295
2022-07-23,910
2022-07-24,890
2022-07-25,1035
2022-07-26,884
2022-07-27,1079
2022-07-28,974
2022-07-29,955
2022-07-30,894
2022-07-31,873
2022-08-01,1228
2022-08-02,1125
2022-08-03,1129
2022-08-04,1034
2022-08-05,1167
2022-08-06,1017
2022-08-07,923
2022-08-08,1059
2022-08-09,1060
2022-08-10,1819
2022-08-11,1199
2022-08-12,1221
2022-08-13,1201
2022-08-14,1054
2022-08-15,1246
2022-08-16,1537
2022-08-17,1362
2022-08-18,1352
2022-08-19,1044
2022-08-20,1067
2022-08-21,1188
2022-08-22,1349
2022-08-23,1431
2022-08-24,1416
2022-08-25,1421
2022-08-26,1170
2022-08-27,920
2022-08-28,905
2022-08-29,1175
2022-08-30,1224
2022-08-31,1009
2022-09-01,1156
2022-09-02,1297
2022-09-03,1125
2022-09-04,890
2022-09-05,1097
2022-09-06,1054
2022-09-07,1086
2022-09-08,1170
2022-09-09,1008
2022-09-10,1068
2022-09-11,974
2022-09-12,1052
2022-09-13,1258
2022-09-14,1217
2022-09-15,3309
2022-09-16,1186
2022-09-17,960
2022-09-18,1061
2022-09-19,1435
2022-09-20,1502
2022-09-21,1409
2022-09-22,1487
2022-09-23,1559
2022-09-24,1487
2022-09-25,1150
2022-09-26,1487
2022-09-27,1602
2022-09-28,1516
2022-09-29,1554
2022-09-30,1457
2022-10-01,1314
2022-10-02,1196
2022-10-03,1552
2022-10-04,1530
2022-10-05,1560
2022-10-06,1869
2022-10-07,1886
2022-10-08,1059
2022-10-09,642
2022-10-10,969
2022-10-11,1109
2022-10-12,1334
2022-10-13,1247
2022-10-14,1298
2022-10-15,976
2022-10-16,1102
2022-10-17,1457
2022-10-18,1624
2022-10-19,1638
2022-10-20,1510
2022-10-21,1624
2022-10-22,1119
2022-10-23,1283
2022-10-24,1787
2022-10-25,1658
2022-10-26,1540
2022-10-27,1708
2022-10-28,1757
2022-10-29,1342
2022-10-30,1255
2022-10-31,1418
2022-11-01,1718
2022-11-02,1436
2022-11-03,1323
2022-11-04,1456
2022-11-05,1038
2022-11-06,930
2022-11-07,1113
2022-11-08,1201
2022-11-09,1002
2022-11-10,1094
2022-11-11,1200
2022-11-12,724
2022-11-13,718
2022-11-14,931
2022-11-15,1111
2022-11-16,1121
2022-11-17,1138
2022-11-18,1195
2022-11-19,928
2022-11-20,788
2022-11-21,925
2022-11-22,1139
2022-11-23,1050
2022-11-24,1004
2022-11-25,1824
2022-11-26,2154
2022-11-27,2540
2022-11-28,1804
2022-11-29,1354