date,daily_transaction_count,avg_transaction_fee,period
2022-07-01,1178620,3032512530549219.5,before
2022-07-02,1189382,1587178635647895.2,before
2022-07-03,1157052,1817808166275616.0,before
2022-07-04,1151999,2277877827557803.0,before
2022-07-05,1182504,2758739738926150.5,before
2022-07-06,1161432,2929220684796345.0,before
2022-07-07,1194330,3336941488695842.0,before
2022-07-08,1192819,2525667062078261.5,before
2022-07-09,1170747,2483618821325828.5,before
2022-07-10,1148902,1828778909568601.8,before
2022-07-11,1146369,2817082350661193.0,before
2022-07-12,1135896,2434899771626326.0,before
2022-07-13,1174882,2813069837163370.5,before
2022-07-14,1189567,3191420600363275.0,before
2022-07-15,1217596,2830809010091417.0,before
2022-07-16,1241502,2154902853454573.0,before
2022-07-17,1245545,2000787176105777.8,before
2022-07-18,1213565,2868874769762846.0,before
2022-07-19,1175526,2977850287942440.5,before
2022-07-20,1191452,2799743091191648.0,before
2022-07-21,1204397,2023881269167868.2,before
2022-07-22,1201699,1579076691079538.2,before
2022-07-23,1144468,1381298938909170.8,before
2022-07-24,1122303,1163455613298689.0,before
2022-07-25,1275861,1782284408314753.5,before
2022-07-26,1679068,1556218138022403.5,before
2022-07-27,1197448,2015252401798018.5,before
2022-07-28,1158611,2313331903982933.0,before
2022-07-29,1192330,1616034953835443.0,before
2022-07-30,1179749,998234538285893.0,before
2022-07-31,1158621,966470042968846.5,before
2022-08-01,1342202,1766359669646106.8,before
2022-08-02,1206185,1437086534410351.8,before
2022-08-03,1250888,1226714380555798.5,before
2022-08-04,1459603,1105133302503765.2,before
2022-08-05,1207188,1429695540708883.2,before
2022-08-06,1148225,967078799610366.88,before
2022-08-07,1166932,1018257503024340.5,before
2022-08-08,1167115,1756615988501322.2,before
2022-08-09,1125139,1906779389958640.2,before
2022-08-10,1160380,2.72718751616847e+15,before
2022-08-11,1098707,2352133648921319.5,before
2022-08-12,1130848,1771163148544158.5,before
2022-08-13,1106236,1169281079576363.0,before
2022-08-14,1102367,1248587488819323.5,before
2022-08-15,1104408,2051006318074413.8,before
2022-08-16,1086312,1354197969067478.0,before
2022-08-17,1099261,1383131180527673.8,before
2022-08-18,1117868,1329308590443313.2,before
2022-08-19,1093309,1860255077467039.0,before
2022-08-20,1096088,1240447313422837.5,before
2022-08-21,1077250,913263883608444.88,before
2022-08-22,1059940,1579188098412647.2,before
2022-08-23,1075718,1471993349266551.5,before
2022-08-24,1043820,1420469454499865.8,before
2022-08-25,1074563,1635169917186811.8,before
2022-08-26,1057768,1593589835130920.5,before
2022-08-27,1047949,1025486263206532.4,before
2022-08-28,1025044,1044677960082080.2,before
2022-08-29,1083202,1719667646629480.2,before
2022-08-30,1051964,2114038982462697.5,before
2022-08-31,1035135,2371686790892535.0,before
2022-09-01,1085160,2052521281366813.5,before
2022-09-02,1083220,1487542163710765.8,before
2022-09-03,1035586,928429792043490.38,before
2022-09-04,1113119,954723418117973.38,before
2022-09-05,1091350,1204924789898910.5,before
2022-09-06,1076929,1720009455340087.5,before
2022-09-07,1068296,2158309706592977.0,before
2022-09-08,1078689,2292108469449977.5,before
2022-09-09,1093966,2120162714035588.8,before
2022-09-10,998158,1381287751461434.5,before
2022-09-11,1024482,1178838375804034.2,before
2022-09-12,1068969,1803707322393694.8,before
2022-09-13,1093205,1978132933840041.0,before
2022-09-14,1109172,1391373659920399.2,before
2022-09-15,1265640,1816328107393717.2,after
2022-09-16,1311849,1094389730149526.1,after
2022-09-17,1322077,723761775735197.0,after
2022-09-18,1156893,1021196368947354.4,after
2022-09-19,1138210,1278653364384008.2,after
2022-09-20,1149031,1418158308840586.5,after
2022-09-21,1100130,1704309228865354.2,after
2022-09-22,1118297,1288117876922088.8,after
2022-09-23,1119895,1187540799138130.8,after
2022-09-24,1109206,821860553989206.0,after
2022-09-25,1107217,1001530115996704.4,after
2022-09-26,1141218,1466131675231962.2,after
2022-09-27,1214294,1.89966556829193e+15,after
2022-09-28,1109706,1845449494985962.8,after
2022-09-29,1129558,1.6988679399934e+15,after
2022-09-30,1225886,1659889926179907.5,after
2022-10-01,1158038,1039111082679552.6,after
2022-10-02,1163876,761661941052245.5,after
2022-10-03,1307142,1456370636256058.8,after
2022-10-04,1185269,1589686203028353.8,after
2022-10-05,1169356,1759211438799446.5,after
2022-10-06,1202667,1376656656446803.2,after
2022-10-07,1180358,1256352626544074.8,after
2022-10-08,1180084,1946472350994156.0,after
2022-10-09,1068531,3143392297938912.5,after
2022-10-10,1123390,3618166439021219.5,after
2022-10-11,1130309,2796871692261373.0,after
2022-10-12,1074204,2232831847467665.2,after
2022-10-13,1124129,2543615061477179.0,after
2022-10-14,1071895,2079986318347194.5,after
2022-10-15,1037870,1986251516544019.5,after
2022-10-16,980678,1878165704615064.8,after
2022-10-17,1073063,2608868562883971.0,after
2022-10-18,1062562,2845384952228500.5,after
2022-10-19,1088602,3054010764544239.5,after
2022-10-20,1155589,3335251318302851.0,after
2022-10-21,1116822,3.35160832745694e+15,after
2022-10-22,959417,2383835059461872.0,after
2022-10-23,1009771,1802410859359058.8,after
2022-10-24,1039240,2.32483708457604e+15,after
2022-10-25,1048003,2537456165559002.5,after
2022-10-26,1104723,2206636361093835.8,after
2022-10-27,1111785,1843315130051380.2,after
2022-10-28,1059633,2025582774744648.5,after
2022-10-29,1038800,1687674914692857.2,after
2022-10-30,1033475,1182800677614306.8,after
2022-10-31,1063248,2400830430156197.5,after
2022-11-01,1071986,1754125065376996.5,after
2022-11-02,1015945,2.12803507079012e+15,after
2022-11-03,1093977,2902610964042392.0,after
2022-11-04,1014135,2374834805093311.0,after
2022-11-05,952067,1687402177500316.8,after
2022-11-06,962845,1641261869653966.2,after
2022-11-07,1106711,2052787484013308.0,after
2022-11-08,1132048,5121434280204635.0,after
2022-11-09,1219648,5512964275072346.0,after
2022-11-10,1184632,4104587427116401.5,after
2022-11-11,1118967,2808884721261805.0,after
2022-11-12,1033438,2040583720430916.8,after
2022-11-13,1133442,1837324510056094.0,after
2022-11-14,1192824,2107648453281008.8,after
2022-11-15,1136911,2185749742726605.5,after
2022-11-16,1083796,2025841344096143.8,after
2022-11-17,1103401,1971880144810816.5,after
2022-11-18,1008485,1883451723142610.5,after
2022-11-19,911890,1707362251947971.5,after
2022-11-20,927233,1755290432004702.0,after
2022-11-21,963954,1862672875865258.0,after
2022-11-22,962924,2095522012266944.0,after
2022-11-23,972566,1785519427186598.0,after
2022-11-24,990202,1610317829523319.8,after
2022-11-25,999123,1432034932072837.2,after
2022-11-26,934988,1469866085194438.8,after
2022-11-27,881336,1505588215799885.0,after
2022-11-28,1087721,1675219628614475.2,after
2022-11-29,1047387,1464645367612717.0,after