date,avg_hash_rate
2022-07-01,2349577977270313.534050063
2022-07-02,2402405492755398.822596659
2022-07-03,2419457289441470.874211381
2022-07-04,2402119001729030.346781703
2022-07-05,2471917676767801.137954818
2022-07-06,2425022722085084.091691286
2022-07-07,2439611523131953.666161454
2022-07-08,2421286641913578.188222786
2022-07-09,2357242945503788.198621444
2022-07-10,2479314309127543.497592118
2022-07-11,2438571669857780.372867457
2022-07-12,2412697528694273.699700976
2022-07-13,2343181369607181.300207293
2022-07-14,2383035151410975.68142618
2022-07-15,2358950529411564.915634726
2022-07-16,2372772382153945.305340459
2022-07-17,2355304061592140.822946688
2022-07-18,2344424037047704.615963927
2022-07-19,2439363340170326.323847703
2022-07-20,2391062528753816.563765958
2022-07-21,2380302792903689.181163396
2022-07-22,2441448784015047.59217897
2022-07-23,2599390062544725.71826532
2022-07-24,2487067309373341.230258507
2022-07-25,2428955034404776.61972721
2022-07-26,2420651581550301.493922924
2022-07-27,2460530014431468.958530633
2022-07-28,2473890241759663.739949427
2022-07-29,2423306841204234.818333001
2022-07-30,2413760060745529.975944355
2022-07-31,2409345043580093.389997883
2022-08-01,2413105290965414.394993849
2022-08-02,2501777520589123.012031165
2022-08-03,2387715528707641.539489173
2022-08-04,2445645262428590.076730909
2022-08-05,2492536584024282.381853499
2022-08-06,2466913600948359.595460888
2022-08-07,2510655351986773.907756085
2022-08-08,2428531271113645.617841085
2022-08-09,2340495103475260.180334472
2022-08-10,2401553473107592.964473856
2022-08-11,2461651578881660.218578603
2022-08-12,2493749342628048.127109384
2022-08-13,2449712959695819.765079228
2022-08-14,2426843086930313.378421879
2022-08-15,2430139512966158.465406117
2022-08-16,2524024588984427.565696528
2022-08-17,2501496052411774.524745632
2022-08-18,2372513849913653.736219617
2022-08-19,2366719247637320.817177214
2022-08-20,2307706936294561.957573509
2022-08-21,2459732601012401.578359389
2022-08-22,2385806245959969.209548438
2022-08-23,2444931146596570.351894761
2022-08-24,2490714687243866.520947159
2022-08-25,2340190981648538.08121548
2022-08-26,2468678153909523.21234163
2022-08-27,2472489936251468.867231877
2022-08-28,2505353990966632.467881811
2022-08-29,2558867201929070.22701474
2022-08-30,2473836445253801.007309574
2022-08-31,2457063495269878.299789422
2022-09-01,2470238946774532.495342212
2022-09-02,2584496970808335.440834171
2022-09-03,2447837523849743.675377381
2022-09-04,2494809496561642.202240722
2022-09-05,2450064725998547.128536452
2022-09-06,2483408452209087.681411002
2022-09-07,2371600061407849.194524663
2022-09-08,2563358594561792.68005087
2022-09-09,2426037546711968.898773084
2022-09-10,2384137935650469.624392584
2022-09-11,2397598464544471.228428312
2022-09-12,2368431311800845.610385491
2022-09-13,2446792026314483.626655446
2022-09-14,2316540488645005.240269034
2022-09-15,525964356253453.053614825
2022-09-16,0
2022-09-17,0
2022-09-18,0
2022-09-19,0
2022-09-20,0
2022-09-21,0
2022-09-22,0
2022-09-23,0
2022-09-24,0
2022-09-25,0
2022-09-26,0
2022-09-27,0
2022-09-28,0
2022-09-29,0
2022-09-30,0
2022-10-01,0
2022-10-02,0
2022-10-03,0
2022-10-04,0
2022-10-05,0
2022-10-06,0
2022-10-07,0
2022-10-08,0
2022-10-09,0
2022-10-10,0
2022-10-11,0
2022-10-12,0
2022-10-13,0
2022-10-14,0
2022-10-15,0
2022-10-16,0
2022-10-17,0
2022-10-18,0
2022-10-19,0
2022-10-20,0
2022-10-21,0
2022-10-22,0
2022-10-23,0
2022-10-24,0
2022-10-25,0
2022-10-26,0
2022-10-27,0
2022-10-28,0
2022-10-29,0
2022-10-30,0
2022-10-31,0
2022-11-01,0
2022-11-02,0
2022-11-03,0
2022-11-04,0
2022-11-05,0
2022-11-06,0
2022-11-07,0
2022-11-08,0
2022-11-09,0
2022-11-10,0
2022-11-11,0
2022-11-12,0
2022-11-13,0
2022-11-14,0
2022-11-15,0
2022-11-16,0
2022-11-17,0
2022-11-18,0
2022-11-19,0
2022-11-20,0
2022-11-21,0
2022-11-22,0
2022-11-23,0
2022-11-24,0
2022-11-25,0
2022-11-26,0
2022-11-27,0
2022-11-28,0
2022-11-29,0