date,new_address_count
2022-07-01,489381
2022-07-02,397725
2022-07-03,318916
2022-07-04,287151
2022-07-05,265878
2022-07-06,257987
2022-07-07,245755
2022-07-08,223998
2022-07-09,237999
2022-07-10,238922
2022-07-11,194968
2022-07-12,191335
2022-07-13,213302
2022-07-14,227135
2022-07-15,256147
2022-07-16,298335
2022-07-17,274177
2022-07-18,207725
2022-07-19,184995
2022-07-20,184005
2022-07-21,204931
2022-07-22,228525
2022-07-23,210943
2022-07-24,205673
2022-07-25,269621
2022-07-26,665200
2022-07-27,217824
2022-07-28,188323
2022-07-29,223572
2022-07-30,236690
2022-07-31,229950
2022-08-01,346391
2022-08-02,225264
2022-08-03,258941
2022-08-04,506999
2022-08-05,229639
2022-08-06,229452
2022-08-07,238585
2022-08-08,175067
2022-08-09,160279
2022-08-10,158071
2022-08-11,137357
2022-08-12,168575
2022-08-13,177572
2022-08-14,178111
2022-08-15,144297
2022-08-16,174102
2022-08-17,177751
2022-08-18,162515
2022-08-19,145101
2022-08-20,157219
2022-08-21,187982
2022-08-22,145211
2022-08-23,145403
2022-08-24,147343
2022-08-25,150424
2022-08-26,139395
2022-08-27,150111
2022-08-28,160244
2022-08-29,124782
2022-08-30,114310
2022-08-31,105474
2022-09-01,123182
2022-09-02,131022
2022-09-03,179971
2022-09-04,245538
2022-09-05,155578
2022-09-06,131396
2022-09-07,117554
2022-09-08,144543
2022-09-09,147916
2022-09-10,144937
2022-09-11,147589
2022-09-12,125052
2022-09-13,147749
2022-09-14,168149
2022-09-15,162123
2022-09-16,202721
2022-09-17,343647
2022-09-18,176127
2022-09-19,151014
2022-09-20,150322
2022-09-21,148044
2022-09-22,155255
2022-09-23,186236
2022-09-24,232374
2022-09-25,197334
2022-09-26,177773
2022-09-27,198629
2022-09-28,155976
2022-09-29,169844
2022-09-30,141653
2022-10-01,166049
2022-10-02,179900
2022-10-03,150771
2022-10-04,154997
2022-10-05,161445
2022-10-06,210021
2022-10-07,199818
2022-10-08,244931
2022-10-09,257041
2022-10-10,230772
2022-10-11,171560
2022-10-12,166329
2022-10-13,140237
2022-10-14,141454
2022-10-15,164852
2022-10-16,102390
2022-10-17,98625
2022-10-18,90823
2022-10-19,92649
2022-10-20,112028
2022-10-21,93196
2022-10-22,93655
2022-10-23,98230
2022-10-24,96061
2022-10-25,96328
2022-10-26,103206
2022-10-27,115965
2022-10-28,86839
2022-10-29,89392
2022-10-30,104454
2022-10-31,94976
2022-11-01,98355
2022-11-02,99596
2022-11-03,102625
2022-11-04,96731
2022-11-05,109580
2022-11-06,106590
2022-11-07,117383
2022-11-08,110238
2022-11-09,138864
2022-11-10,124667
2022-11-11,133786
2022-11-12,140165
2022-11-13,150327
2022-11-14,163531
2022-11-15,153556
2022-11-16,141628
2022-11-17,145472
2022-11-18,137477
2022-11-19,140938
2022-11-20,119929
2022-11-21,99573
2022-11-22,105954
2022-11-23,134006
2022-11-24,158480
2022-11-25,174823
2022-11-26,168887
2022-11-27,149221
2022-11-28,188752
2022-11-29,153202